Dato;Trafikkmengde_num
05.05.2024;1971.0
06.05.2024;4048.0
07.05.2024;5270.0
08.05.2024;5283.0
09.05.2024;1374.0
10.05.2024;3721.0
11.05.2024;3599.0
12.05.2024;2482.0
13.05.2024;5198.0
14.05.2024;5733.0
15.05.2024;5999.0
16.05.2024;5429.0
17.05.2024;3594.0
18.05.2024;2746.0
19.05.2024;2363.0
20.05.2024;2615.0
21.05.2024;5783.0
22.05.2024;5518.0
23.05.2024;4565.0
24.05.2024;4888.0
25.05.2024;3283.0
26.05.2024;1708.0
27.05.2024;4173.0
28.05.2024;3436.0
29.05.2024;3516.0
30.05.2024;4769.0
31.05.2024;4090.0
01.06.2024;2479.0
02.06.2024;2335.0
03.06.2024;4323.0
04.06.2024;3509.0
05.06.2024;3298.0
06.06.2024;3427.0
07.06.2024;2854.0
08.06.2024;1695.0
09.06.2024;1543.0
10.06.2024;4294.0
11.06.2024;4353.0
12.06.2024;4483.0
13.06.2024;4514.0
14.06.2024;2734.0
15.06.2024;1178.0
16.06.2024;1506.0
17.06.2024;3664.0
18.06.2024;4005.0
19.06.2024;4411.0
20.06.2024;4189.0
21.06.2024;3868.0
22.06.2024;1236.0
23.06.2024;2273.0
24.06.2024;4063.0
25.06.2024;4099.0
26.06.2024;4761.0
27.06.2024;4179.0
28.06.2024;3712.0
29.06.2024;2545.0
30.06.2024;2328.0
01.07.2024;4054.0
02.07.2024;4442.0
03.07.2024;4514.0
04.07.2024;3297.0
05.07.2024;2027.0
06.07.2024;1693.0
07.07.2024;1763.0
08.07.2024;3462.0
09.07.2024;3549.0
10.07.2024;1668.0
11.07.2024;2875.0
12.07.2024;3458.0
13.07.2024;2274.0
14.07.2024;1792.0
15.07.2024;3062.0
16.07.2024;2104.0
17.07.2024;3720.0
18.07.2024;3813.0
19.07.2024;3892.0
20.07.2024;3201.0
21.07.2024;1850.0
22.07.2024;3601.0
23.07.2024;3572.0
24.07.2024;2956.0
25.07.2024;2626.0
26.07.2024;2711.0
27.07.2024;2896.0
28.07.2024;2349.0
29.07.2024;3940.0
30.07.2024;4276.0
31.07.2024;3911.0
01.08.2024;3983.0
02.08.2024;3801.0
03.08.2024;2501.0
04.08.2024;2465.0
05.08.2024;4468.0
06.08.2024;4922.0
07.08.2024;3257.0
08.08.2024;4456.0
09.08.2024;2727.0
10.08.2024;2880.0
11.08.2024;2585.0
12.08.2024;5652.0
13.08.2024;4194.0
14.08.2024;3594.0
15.08.2024;4534.0
16.08.2024;5177.0
17.08.2024;2947.0
18.08.2024;1909.0
19.08.2024;5700.0
20.08.2024;3036.0
21.08.2024;5858.0
22.08.2024;2876.0
23.08.2024;3022.0
24.08.2024;1515.0
25.08.2024;1898.0
26.08.2024;4386.0
27.08.2024;5460.0
28.08.2024;5683.0
29.08.2024;5138.0
30.08.2024;4584.0
31.08.2024;2983.0
01.09.2024;2391.0
02.09.2024;5332.0
03.09.2024;2839.0
04.09.2024;3966.0
05.09.2024;5815.0
06.09.2024;5201.0
07.09.2024;3113.0
08.09.2024;2073.0
09.09.2024;4501.0
10.09.2024;3925.0
11.09.2024;3761.0
12.09.2024;5327.0
13.09.2024;4678.0
14.09.2024;2689.0
15.09.2024;1601.0
16.09.2024;5286.0
17.09.2024;5323.0
18.09.2024;5241.0
19.09.2024;5112.0
20.09.2024;4886.0
21.09.2024;2987.0
22.09.2024;2248.0
23.09.2024;4890.0
24.09.2024;4618.0
25.09.2024;4909.0
26.09.2024;4835.0
27.09.2024;4054.0
28.09.2024;2281.0
29.09.2024;1392.0
30.09.2024;3394.0
01.10.2024;3517.0
02.10.2024;3652.0
03.10.2024;3368.0
04.10.2024;3086.0
05.10.2024;1895.0
06.10.2024;1715.0
07.10.2024;3776.0
08.10.2024;3773.0
09.10.2024;4004.0
10.10.2024;4441.0
11.10.2024;3520.0
12.10.2024;1074.0
13.10.2024;1122.0
14.10.2024;4363.0
15.10.2024;4650.0
16.10.2024;4369.0
17.10.2024;3460.0
18.10.2024;2913.0
19.10.2024;1408.0
20.10.2024;1055.0
21.10.2024;3635.0
22.10.2024;4448.0
23.10.2024;4150.0
24.10.2024;3859.0
25.10.2024;3699.0
26.10.2024;2338.0
27.10.2024;1671.0
28.10.2024;4325.0
29.10.2024;4104.0
30.10.2024;4343.0
31.10.2024;3954.0
01.11.2024;3469.0
02.11.2024;2158.0
03.11.2024;1459.0
04.11.2024;4432.0
